Date;IPCA;IPCA-MS;IPCA-EX;IPCA-EX2;IPCA-DP
09/2008;0.26 ;0.45 ;0.62 ;0.42 ;0.51
10/2008;0.45 ;0.37 ;0.51 ;0.42 ;0.45
11/2008;0.36 ;0.35 ;0.36 ;0.31 ;0.31
12/2008;0.28 ;0.33 ;0.33 ;0.34 ;0.30
01/2009;0.48 ;0.42 ;0.27 ;0.45 ;0.40
02/2009;0.55 ;0.29 ;0.88 ;0.70 ;0.50
03/2009;0.20 ;0.35 ;0.25 ;0.23 ;0.28
04/2009;0.48 ;0.35 ;0.58 ;0.56 ;0.49
05/2009;0.47 ;0.44 ;0.56 ;0.54 ;0.48
06/2009;0.36 ;0.39 ;0.32 ;0.27 ;0.37
07/2009;0.24 ;0.30 ;0.23 ;0.29 ;0.29
08/2009;0.15 ;0.25 ;0.29 ;0.21 ;0.23
09/2009;0.24 ;0.39 ;0.35 ;0.31 ;0.39
10/2009;0.28 ;0.31 ;0.33 ;0.24 ;0.33
11/2009;0.41 ;0.37 ;0.42 ;0.37 ;0.40
12/2009;0.37 ;0.41 ;0.44 ;0.46 ;0.47
01/2010;0.75 ;0.48 ;0.58 ;0.59 ;0.60
02/2010;0.78 ;0.39 ;0.86 ;0.68 ;0.47
03/2010;0.52 ;0.46 ;0.46 ;0.42 ;0.40
04/2010;0.57 ;0.50 ;0.43 ;0.42 ;0.42
05/2010;0.43 ;0.62 ;0.62 ;0.56 ;0.57
06/2010;0.00 ;0.40 ;0.40 ;0.36 ;0.29
07/2010;0.01 ;0.25 ;0.20 ;0.24 ;0.20
08/2010;0.04 ;0.33 ;0.24 ;0.12 ;0.19
09/2010;0.45 ;0.43 ;0.34 ;0.37 ;0.39
10/2010;0.75 ;0.55 ;0.55 ;0.44 ;0.58
11/2010;0.83 ;0.56 ;0.57 ;0.52 ;0.66
12/2010;0.63 ;0.52 ;0.71 ;0.60 ;0.71
01/2011;0.83 ;0.54 ;0.66 ;0.76 ;0.80
02/2011;0.80 ;0.40 ;1.23 ;0.96 ;0.70
03/2011;0.79 ;0.49 ;0.69 ;0.70 ;0.70
04/2011;0.77 ;0.60 ;0.58 ;0.52 ;0.68
05/2011;0.47 ;0.64 ;0.43 ;0.54 ;0.59
06/2011;0.15 ;0.54 ;0.50 ;0.56 ;0.42
07/2011;0.16 ;0.41 ;0.40 ;0.33 ;0.38
08/2011;0.37 ;0.55 ;0.45 ;0.32 ;0.39
09/2011;0.53 ;0.58 ;0.44 ;0.45 ;0.51
10/2011;0.43 ;0.59 ;0.43 ;0.47 ;0.50
11/2011;0.52 ;0.55 ;0.45 ;0.47 ;0.53
12/2011;0.50 ;0.58 ;0.49 ;0.41 ;0.54
01/2012;0.56 ;0.47 ;0.57 ;0.59 ;0.59
02/2012;0.45 ;0.41 ;0.54 ;0.60 ;0.47
03/2012;0.21 ;0.28 ;0.22 ;0.21 ;0.26
04/2012;0.64 ;0.51 ;0.71 ;0.69 ;0.61
05/2012;0.36 ;0.45 ;0.26 ;0.36 ;0.34
06/2012;0.08 ;0.39 ;-0.09 ;0.05 ;0.07
07/2012;0.43 ;0.40 ;0.43 ;0.46 ;0.53
08/2012;0.41 ;0.50 ;0.40 ;0.40 ;0.45
09/2012;0.57 ;0.49 ;0.39 ;0.47 ;0.51
10/2012;0.59 ;0.54 ;0.48 ;0.51 ;0.55
11/2012;0.60 ;0.49 ;0.64 ;0.63 ;0.62
12/2012;0.79 ;0.56 ;0.88 ;0.76 ;0.67
01/2013;0.86 ;0.73 ;0.87 ;0.63 ;0.65
02/2013;0.60 ;0.53 ;1.00 ;0.28 ;0.55
03/2013;0.47 ;0.47 ;0.31 ;0.35 ;0.46
04/2013;0.55 ;0.53 ;0.45 ;0.52 ;0.53
05/2013;0.37 ;0.52 ;0.48 ;0.49 ;0.50
06/2013;0.26 ;0.36 ;0.38 ;0.46 ;0.43
07/2013;0.03 ;0.29 ;0.35 ;0.20 ;0.34
08/2013;0.24 ;0.42 ;0.45 ;0.41 ;0.42
09/2013;0.35 ;0.43 ;0.52 ;0.48 ;0.46
10/2013;0.57 ;0.58 ;0.60 ;0.51 ;0.61
11/2013;0.54 ;0.45 ;0.60 ;0.57 ;0.52
12/2013;0.92 ;0.58 ;0.96 ;0.74 ;0.79
01/2014;0.55 ;0.55 ;0.52 ;0.50 ;0.55
02/2014;0.69 ;0.51 ;0.92 ;0.79 ;0.69
03/2014;0.92 ;0.59 ;0.88 ;0.58 ;0.59
04/2014;0.67 ;0.56 ;0.41 ;0.52 ;0.56
05/2014;0.46 ;0.64 ;0.42 ;0.54 ;0.50
06/2014;0.40 ;0.56 ;0.73 ;0.71 ;0.61
07/2014;0.01 ;0.35 ;0.01 ;0.19 ;0.21
08/2014;0.25 ;0.40 ;0.38 ;0.42 ;0.44
09/2014;0.57 ;0.54 ;0.58 ;0.55 ;0.57
10/2014;0.42 ;0.51 ;0.42 ;0.41 ;0.44
11/2014;0.51 ;0.38 ;0.31 ;0.33 ;0.38
12/2014;0.78 ;0.49 ;0.87 ;0.73 ;0.68
